,database,collection,text
5826948248d82344d460801d,uselections,tweets,user_mention user_mention #rtovertime why don't you admit niggers are dumb 
582f12cf48d8235e1cc6e28d,twitter,tweets,#pussy ass niggers porn code words 
5882db1548d82357486673f4,inauguration_no_filter,tweets,no . i don't put my face in the boiling water you dumbass niggers . i let the steam surround me . 
5926924f48d82324f68e9798,manchester_event,tweets,john lennon ... women are the niggers of the world . 
5929d33e48d82361e79a6c1a,unfiltered_stream_May17,tweets,fuck you niggers do anything they wanted . 
58232eab48d82350e8ef17eb,twitter,tweets,land monitor/oriental garden/green forest/rat snake at sigiriya 
582cc72948d8235e211268ad,uselections,tweets,snake eyes every time you roll with crooked dice #thedruginmeisyou user_mention #fallinginreverse #oldjam #2011 
58810b0148d823411b70ba04,inauguration,tweets,"call user_mention , ask him to support an executive order by #potus to remove snake river dams 360-902-4111 #freethesnake #blackfish "
5927b68a48d82324f697be73,manchester_event,tweets,right . the snake . 
592c18a148d82324f6b0cfc1,manchester_event,tweets,the traitor snake cashes in on the manchester murders . 
5830de3548d8232119eb836f,uselections,tweets,googles new photoscan app makes it easy to bring your prints into the digital world ... #google #photoscan #app 
5838ee1948d8231cd6a2cdd2,twitter,tweets,do ya googles nigga ! 
5886925a48d823547ac20c3f,inauguration,tweets,wowwww . just did my googles and it's true . 
5919436148d8234d1f1ab82e,unfiltered_stream_May17,tweets,""" hollywood medium "" tyler henry can't even do cold readings . he simply googles people and lies . he should be "
591db7a648d82360b209b676,unfiltered_stream_May17,tweets,user_mention wait really ? let me do my googles 
5835736648d8233368d1e00b,twitter,tweets,""" the cuckservative trend is that homoerotic fixation taken to cartoonish extremes . it's all about sexual anxiety an … "
5837e1c048d8231cd90b3fb9,uselections,tweets,user_mention only bc romney was a cuckservative afraid to attack him who had no planning during the debates ... hes was frankly robotic 
588b6ed248d823242e0e681b,inauguration_no_filter,tweets,"user_mention user_mention perhaps the user_mention should start calling itself "" the american cuckservative "" ? "
5914bd2048d8231bb96be29e,unfiltered_stream_May17,tweets,"user_mention wow , straight up cuckservative video , gavin . "" i hate nazis , please like me leftists "" "
591bc48848d8230496da689b,unfiltered_stream_May17,tweets,user_mention slay the cuckservative ! gillespie the stooge must go away . 
582d2ad148d8235e1f263be8,uselections,tweets,so i just got my acct locked but not shoahed for mentioning skypes and googles !!! twitter is bitter !!! 
582f1aa048d8235e1f2e7a11,uselections,tweets,user_mention first rule of security -- don't let the skypes know what you're up to . 
583294c148d8236bb7ef0ace,twitter,tweets,user_mention i know a bunch of my friends ' skypes got hacked like that too . i'm sorry hun . maybe ask people to dm you if they had your skype ? 
58869efd48d8235c86902232,inauguration_no_filter,tweets,user_mention do you prefer skypes or privates ? 
588cbb3f48d8230d46e5fa23,inauguration,tweets,just getting warmed up here and skypes are already tapping out left and right #maga #somuchwinning 
582f013d48d8235e1ee6b581,twitter,tweets,fictional creatures ' fantastic drawings from an old book 
582f133148d8235e1ee70b02,twitter,tweets,cwf_fcf : #fantasticbeasts are not only found in fairy tales and magic books . we have some incredible creatures in … 
5834005748d823318c7cfe7d,twitter,tweets,fictional creatures ' fantastic drawings from an old book 
5890928748d82328620bf3c4,inauguration_no_filter,tweets,"#climatechange : #fish , #birds and other creatures are showing effects of warmer conditions in #alaska : user_mention "
592c0abb48d82324f6b08cc3,manchester_event,tweets,user_mention i do not want to keep seeing this vile creatures face . #stopprintinghisface #manchester 
581b9d9b48d8234489e229d6,twitter,tweets,user_mention message to moslems and mexicans - you love them but not the criminals and bad ones . your intent is to keep america safe 
5827796c48d82344d4637b90,uselections,tweets,user_mention user_mention why are you so much interested in anti-trump manifestations that are organised by illegal migrants and moslems 
5830e3b748d82321170b167c,twitter,tweets,"only moslems & ( highly educated ) democtrats know only one word ! "" racis "" they are a boring group ! stick it to them c … "
588ceadc48d823242e15a864,inauguration_no_filter,tweets,user_mention 99.9% of terrorists are moslems . liberals are so stupid . 
592c935248d82324f6b34cee,manchester_event,tweets,"user_mention and they were sikhs , moslems bombed manchester & the cause is their religion of hate "
5824a97748d82344d0bd5399,twitter,tweets,oggy and cockroaches tom and jerry spongebob squarepants 
5890366248d82328620a66cc,inauguration_no_filter,tweets,identification and characterization of antibacterial compound(s ) of cockroaches ( periplaneta americana ) 
5927f1e948d82324f6996e70,manchester_event,tweets,the woman who compared #migrants to cockroaches and called for a ' final solution ' after #manchester attack . 
5928264348d82324f69b096d,manchester_event,tweets,"invoking the holocaust as a "" solution "" to the manchester bombing and describing refugees as cockroaches = intent to bring harm ( 5 ) "
592b070948d82324f6ac793e,manchester_event,tweets,hwy man pak army is not doing terrorism in baluchistan the indian only they flushed indian proxy cockroaches 
58814a5948d823411a65156f,inauguration_no_filter,tweets,"tomorrow is patriots spirit day ! school store is open in the morning . please , wear sneakers and bring water for dance club ! :) "
